13114422.975700 1.124E-56 1.871E-04.04000.00015046.70660.660.000000       X3/2  10       X1/2   4                QR  9.5ee     232010 5 2 2 0 1 0    44.0   40.0
13114423.741380 2.752E-55 3.430E-04.04000.00014590.52730.660.000000       X3/2   9       X1/2   3                PQ 15.5fe     232010 5 2 2 0 1 0    64.0   64.0
13114423.756800 4.904E-53 6.907E-04.04000.00013625.55640.660.000000       X3/2   9       X1/2   3                OP 13.5ee     232010 5 2 2 0 1 0    52.0   56.0
13114423.944940 7.327E-41 1.734E-04.05300.000 7377.49070.660.000000       X3/2   7       X1/2   2                QR  3.5ee     332010 5 2 2 0 1 0    20.0   16.0
13114424.201240 7.320E-41 1.734E-04.05300.000 7377.67710.660.000000       X3/2   7       X1/2   2                QR  3.5ff     332010 5 2 2 0 1 0    20.0   16.0
13114425.122680 2.831E-55 3.431E-04.04000.00014584.71510.660.000000       X3/2   9       X1/2   3                PQ 15.5ef     232010 5 2 2 0 1 0    64.0   64.0
13114425.552500 1.714E-39 1.275E-02.04000.000 7682.26540.660.000000       X3/2   7       X3/2   2                QQ  6.5fe     342010 5 2 2 0 1 0    28.0   28.0
13114426.469330 1.133E-56 1.871E-04.04000.00015045.02740.660.000000       X3/2  10       X1/2   4                QR  9.5ff     232010 5 2 2 0 1 0    44.0   40.0
13114428.519000 1.451E-41 9.660E-02.04000.000 9207.84400.660.000000       X3/2   7       X3/2   2                RR 11.5ff     342010 5 2 2 0 1 0    52.0   48.0
13114429.499520 1.486E-41 9.661E-02.04000.000 9202.94570.660.000000       X3/2   7       X3/2   2                RR 11.5ee     342010 5 2 2 0 1 0    52.0   48.0
13114430.962490 1.321E-36 2.407E-04.04000.000 5549.56150.660.000000       X3/2   6       X1/2   1                OP  9.5ee     332010 5 2 2 0 1 0    36.0   40.0
13114431.100170 5.010E-53 6.917E-04.04000.00013621.24240.660.000000       X3/2   9       X1/2   3                OP 13.5ff     232010 5 2 2 0 1 0    52.0   56.0
13114431.486740 3.777E-40 4.385E-03.04000.000 7741.96890.660.000000       X1/2   7       X1/2   2                QQ  5.5fe     342010 5 2 2 0 1 0    24.0   24.0
13114431.663410 1.133E-41 9.734E-02.04000.000 9243.76670.660.000000       X1/2   7       X1/2   2                RR 10.5ee     342010 5 2 2 0 1 0    48.0   44.0
13114431.811820 3.782E-40 4.386E-03.04000.000 7741.74660.660.000000       X1/2   7       X1/2   2                QQ  5.5ef     342010 5 2 2 0 1 0    24.0   24.0
13114432.039830 1.147E-41 9.735E-02.04000.000 9241.23840.660.000000       X1/2   7       X1/2   2                RR 10.5ff     342010 5 2 2 0 1 0    48.0   44.0
13114432.147350 4.288E-44 2.821E-06.04000.000 8313.05870.660.000000       X3/2   6       X1/2   1                QR 15.5ff     232010 5 2 2 0 1 0    68.0   64.0
13114434.210980 6.247E-41 1.507E-03.04000.000 7924.07200.660.000000       X1/2   7       X3/2   2                QP  7.5ff     332010 5 2 2 0 1 0    28.0   32.0
13114435.047060 1.335E-36 2.409E-04.04000.000 5547.48870.660.000000       X3/2   6       X1/2   1                OP  9.5ff     332010 5 2 2 0 1 0    36.0   40.0
13114436.631720 6.312E-41 1.508E-03.04000.000 7921.97510.660.000000       X1/2   7       X3/2   2                QP  7.5ee     332010 5 2 2 0 1 0    28.0   32.0
13114437.258520 1.701E-39 2.604E-03.09500.000 7098.96910.660.000000       X3/2   7       X1/2   2                QR  0.5ff     332010 5 2 2 0 1 0     8.0    4.0
13114437.374000 1.703E-39 2.605E-03.09500.000 7098.82560.660.000000       X3/2   7       X1/2   2                QR  0.5ee     332010 5 2 2 0 1 0     8.0    4.0
13114439.242120 2.954E-40 4.677E-04.06500.000 7248.42360.660.000000       X3/2   7       X1/2   2                QR  2.5ff     332010 5 2 2 0 1 0    16.0   12.0
13114439.258280 2.957E-40 4.675E-04.06500.000 7248.16530.660.000000       X3/2   7       X1/2   2                QR  2.5ee     332010 5 2 2 0 1 0    16.0   12.0
13114440.022290 1.372E-37 1.877E-01.06500.000 7159.15560.660.000000       X3/2   7       X3/2   2                PP  3.5ff     342010 5 2 2 0 1 0    12.0   16.0
13114440.305290 1.375E-37 1.877E-01.06500.000 7158.76760.660.000000       X3/2   7       X3/2   2                PP  3.5ee     342010 5 2 2 0 1 0    12.0   16.0
13114440.556640 7.755E-47 8.124E-08.04000.000 8944.42970.660.000000       X3/2   5       X1/2   0                QR 21.5ee     232010 5 2 2 0 1 0    92.0   88.0
13114440.909720 7.063E-56 1.491E-01.04000.00016106.34820.660.000000       X3/2  10       X3/2   4                RR 13.5ff     242010 5 2 2 0 1 0    60.0   56.0
13114443.462840 7.267E-56 1.492E-01.04000.00016100.52590.660.000000       X3/2  10       X3/2   4                RR 13.5ee     242010 5 2 2 0 1 0    60.0   56.0
13114443.824090 8.797E-42 5.290E-04.04000.000 8294.26710.660.000000       X3/2   6       X3/2   1                QQ 16.5ef     242010 5 2 2 0 1 0    68.0   68.0
13114443.896890 8.383E-40 1.126E-03.08600.000 7155.28100.660.000000       X3/2   7       X1/2   2                QR  1.5ff     332010 5 2 2 0 1 0    12.0    8.0
13114444.031790 8.393E-40 1.126E-03.08600.000 7155.04110.660.000000       X3/2   7       X1/2   2                QR  1.5ee     332010 5 2 2 0 1 0    12.0    8.0
13114446.728840 5.648E-56 1.502E-01.04000.00016139.45550.660.000000       X1/2  10       X1/2   4                RR 12.5ee     242010 5 2 2 0 1 0    56.0   52.0
13114447.889270 5.742E-56 1.502E-01.04000.00016136.07960.660.000000       X1/2  10       X1/2   4                RR 12.5ff     242010 5 2 2 0 1 0    56.0   52.0
13114450.672480 1.539E-52 1.689E-01.04000.00014563.59620.660.000000       X3/2   9       X3/2   3                PP 16.5ff     242010 5 2 2 0 1 0    64.0   68.0
13114450.749300 4.535E-42 3.281E-04.04000.000 8319.62180.660.000000       X1/2   6       X1/2   1                QQ 15.5fe     242010 5 2 2 0 1 0    64.0   64.0
